"names"	"baseMean.CTLvsPMA.all"	"log2FoldChange.CTLvsPMA.all"	"lfcSE.CTLvsPMA.all"	"stat.CTLvsPMA.all"	"pvalue.CTLvsPMA.all"	"padj.CTLvsPMA.all"	"baseMean.PMA_vs_MOTScPMA.all"	"log2FoldChange.PMA_vs_MOTScPMA.all"	"lfcSE.PMA_vs_MOTScPMA.all"	"stat.PMA_vs_MOTScPMA.all"	"pvalue.PMA_vs_MOTScPMA.all"	"padj.PMA_vs_MOTScPMA.all"
"PCNP"	"PCNP"	835.159284198565	-0.0018505765746436	0.0630798075335258	-0.0293370675498662	0.976595763986284	0.98766736960869	816.051604042528	0.190655914817035	0.061944902331951	3.07783058233503	0.00208513421203537	0.0326689009598453
"POU2F2"	"POU2F2"	421.306258415033	0.024853576738004	0.0691107741643777	0.359619423143642	0.719131756499968	0.841657305268557	454.677915967664	0.427929641878443	0.0740799100423754	5.77659505301313	7.6227446963913e-09	1.15398826272494e-06
"PPAN-P2RY11"	"PPAN-P2RY11"	93.382508562051	0.0498450156109819	0.327392676110604	0.152248413749312	0.878991010352781	0.937073093290931	114.516254574377	0.730756265634532	0.188841193423001	3.86968675842695	0.000108975276619177	0.00366610993093013
"PRPS2"	"PRPS2"	815.322228602299	-0.000214361857627185	0.0518416598869823	-0.00413493429983735	0.996700809163647	0.998235261144382	792.769460150348	0.177794691413894	0.0503943589835062	3.52806732737855	0.000418605669939428	0.00982506447410157
"PTCSC3"	"PTCSC3"	133.057870951865	0.0763157899646728	0.132502733736632	0.575956343031846	0.564644690617443	0.729620649431791	107.831526419804	-0.448450077285935	0.148082609884687	-3.02837772534633	0.0024587055434593	0.0362696502275708
"RAB13"	"RAB13"	599.866692454558	0.0458423879415253	0.0671070088509644	0.683123696413517	0.494528682992427	0.671420002168662	611.900421038002	0.263769473137279	0.0809309480523371	3.25919168729746	0.00111730148358474	0.0211452620249136
"RASAL2"	"RASAL2"	2005.22579050901	0.0280431025988062	0.0432210563653684	0.648829643628891	0.516448494580688	0.69016229641229	1726.57121617474	-0.201634656696195	0.0524511961590294	-3.84423371556387	0.000120929715005104	0.00400158409406234
"RPL13A"	"RPL13A"	19671.1860946185	-0.00620004727165275	0.0483206531298671	-0.12831050223989	0.897903254221302	0.947220532922582	19046.3319892928	0.171488351596037	0.0555664118371638	3.08618724740729	0.00202741104436014	0.0320966995532624
"RPL27A"	"RPL27A"	4565.21753495856	0.00945969409983902	0.045758789273013	0.206729554040409	0.836221075157451	0.913447645038474	4463.03849303952	0.183488401709176	0.0452940382361849	4.05104973754777	5.09883666423895e-05	0.00199844695277016
"RPL30"	"RPL30"	3600.09672051275	-0.00629513483762157	0.0326525520161775	-0.192791510890257	0.847122252097448	0.919627198043238	3513.67321880675	0.1932459866273	0.0334502679621766	5.77711326097028	7.59931336171429e-09	1.15398826272494e-06
"RPL38"	"RPL38"	3637.55749398792	0.0246787286850744	0.0520861921835876	0.473805583600535	0.635638552538019	0.784319792525344	3576.01542791603	0.18402444002612	0.0571414333622024	3.22050794315299	0.00127963646522718	0.0232001156143209
"RPL41"	"RPL41"	3121.44353559163	-0.0307335346340957	0.0549315779621752	-0.559487562058717	0.575829017442594	0.738395357968131	3036.41557609205	0.207384054439942	0.0560738826485531	3.6984072556512	0.000216956594084609	0.00606827092600161
"RPLP1"	"RPLP1"	10202.0001507737	0.0339484005212033	0.0423592875583536	0.801439364966571	0.422877333665713	0.607938921302854	10026.9377003159	0.174491313168271	0.0480307488109252	3.63290844902632	0.000280244470938393	0.00723676074101253
"RPS12"	"RPS12"	4734.98428534184	0.0345862844399995	0.0411558023860473	0.840374441386787	0.400698474888753	0.5868898353607	4695.8559285054	0.198202517468294	0.0498870275139016	3.97302720457864	7.09649405337993e-05	0.00256554147702938
"RPS25"	"RPS25"	5017.39364088519	0.0111629126455956	0.0397241867621555	0.281010476373812	0.778702364491911	0.88012613264072	4884.57230645819	0.170140393523327	0.04517230519235	3.7664757819829	0.000165568136162642	0.00497567170487782
"RPS27A"	"RPS27A"	8207.26561196539	0.0179188162183396	0.0473162629229961	0.378703116252042	0.704908339002615	0.832817851469771	8001.09005140623	0.167472548729698	0.0546886132253206	3.06229284037063	0.00219648453002776	0.0338508817510236
"SIPA1L3"	"SIPA1L3"	586.658740297782	-0.0372666899108335	0.0623217174243165	-0.597972768579271	0.549858103342777	0.718644957687892	492.705074191033	-0.21007580426276	0.0668142018153006	-3.14417891039825	0.00166553578155225	0.0278994520752134
"SLC35A5"	"SLC35A5"	154.944518852657	0.0551438567795993	0.11190969194882	0.492753181778198	0.622186995291708	0.773972682830488	128.128685683478	-0.363708885038346	0.114470187014622	-3.17732410965561	0.00148640821097877	0.0259019997743365
